,T2,RRR,PE,Q_HBV,Qobs,Q_DDM,Q_Total
2017-09-22,270.9477419679234,1.628875732421875,0.3093071375685448,1.1631158936880288,1.2573804573804577,25.52380201822918,26.68691791191721
2017-09-23,270.2163373455275,0.08249282836914062,0.22844597426205668,1.1154578000751374,1.2573804573804577,23.034100683593827,24.149558483668965
2017-09-24,267.6027814373244,0.0209808349609375,0.0,1.0703944441832582,0.7698247698247698,14.137556372070389,15.207950816253646
2017-09-25,266.4562970623244,0.005245208740234375,0.0,1.027716339294389,0.3335907335907336,10.234895978645858,11.262612317940247
2017-09-26,267.6624026124546,0.00476837158203125,0.0,0.9868797837545408,0.3335907335907336,14.340506852213558,15.327386635968098
2017-09-27,268.44410020360044,0.0,0.03251453964552194,0.9475399826210088,0.3335907335907336,17.0014054524741,17.94894543509511
2017-09-28,269.62776516128275,0.22554397583007812,0.16337579279127024,0.9096251997832341,0.3335907335907336,21.030600968424498,21.940226168207733
2017-09-29,268.79886704930357,5.225181579589844,0.07173614006713004,0.873177422115823,0.3335907335907336,18.20903179524754,19.082209217363364
2017-09-30,266.5983869060744,7.456302642822266,0.0,0.8382117385322332,0.3335907335907336,10.688869272382249,11.527081010914483
2017-10-01,261.3292218670119,0.08869171142578125,0.0,0.804681177446106,,0.0,0.804681177446106
2017-10-02,263.310453556465,0.0,0.0,0.7725077380354213,,0.9814861941689311,1.7539939322043523
2017-10-03,265.5710635011265,0.0,0.0,0.7416178914763015,,7.215240057908456,7.956857949384758
2017-10-04,268.40303371597025,0.0,0.027974393383100177,0.7119550140261792,,16.86161512858074,17.573570142606922
2017-10-05,265.8075645590692,7.632255554199219,0.0,0.683473956436434,,7.937675191203102,8.621149147639535
2017-10-06,263.1095665121942,4.352569580078125,0.0,0.6561322771493769,,0.5914053778679099,1.247537655017287
2017-10-07,256.281405908353,0.01811981201171875,0.0,0.6298862176608184,,0.0,0.6298862176608184
2017-10-08,255.5162043397495,0.24175643920898438,0.0,0.6046913093450078,,0.0,0.6046913093450078
2017-10-09,258.1531392559279,0.39005279541015625,0.0,0.5805043380992408,,0.0,0.5805043380992408
2017-10-10,260.72688625503275,0.0,0.0,0.5572844260756845,,0.0,0.5572844260756845
2017-10-11,260.3440000042189,0.000476837158203125,0.0,0.5349929620197995,,0.0,0.5349929620197995
2017-10-12,263.48023301610044,0.0,0.0,0.5135930793532538,,1.1769405954037524,1.690533674757006
2017-10-13,261.6937950278192,0.0,0.0,0.4930492760328915,,0.0,0.4930492760328915
2017-10-14,260.7925664409865,0.0019073486328125,0.0,0.4733273140249952,,0.0,0.4733273140249952
2017-10-15,263.0756818279494,0.0,0.0,0.4543942594785329,,0.6602176028903141,1.114611862368847
2017-10-16,262.04886704930357,0.027179718017578125,0.0,0.43621851205292395,,0.0058895198542531215,0.44210803190717707
2017-10-17,262.27140122899107,0.061511993408203125,0.0,0.41876977254761094,,0.03866479941751658,0.4574345719651275
2017-10-18,262.6786989991734,0.01049041748046875,0.0,0.4020189732455316,,0.22942028660285707,0.6314392598483887
2017-10-19,264.1165041749546,5.28717041015625,0.0,0.3859382080673287,,2.4905499260594213,2.87648813412675
2017-10-20,260.028460962064,0.0782012939453125,0.0,0.37050067870794606,,0.0,0.37050067870794606
2017-10-21,260.04537342239115,0.0,0.0,0.3556806533084358,,0.0,0.3556806533084358
2017-10-22,260.5132479493687,0.002384185791015625,0.0,0.3414534288066473,,0.0,0.3414534288066473
2017-10-23,259.08413138239274,0.00667572021484375,0.0,0.32779529210029323,,0.0,0.32779529210029323
2017-10-24,261.6040021404494,0.030517578125,0.0,0.3146834800823077,,0.0,0.3146834800823077
2017-10-25,260.4803245688348,0.14448165893554688,0.0,0.30209614046952826,,0.0,0.30209614046952826
2017-10-26,260.1474083090692,0.0743865966796875,0.0,0.290012294697135,,0.0,0.290012294697135
2017-10-27,258.95186184097025,0.09441375732421875,0.0,0.2784118029640725,,0.0,0.2784118029640725
2017-10-28,258.9616166576613,0.006198883056640625,0.0,0.2672753309445449,,0.0,0.2672753309445449
