,T2,RRR,PE,Q_HBV,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_upper_gw,HBV_lower_gw,Qobs,Q_DDM,Q_Total
2015-12-16,254.46628181384878,0.0,0.0,0.03278926948409838,111.00921630859375,192.87110711991903,0.0,0.0,0.733240601460244,0.0,0.0,0.03278926948409838
2015-12-17,255.92791995796173,0.0,0.0,0.03147769870473445,111.00921630859375,192.87110711991903,0.0,0.0,0.7039109774018342,0.0,0.0,0.03147769870473445
2015-12-18,255.46662509907154,0.0,0.0,0.03021859075654507,111.00921630859375,192.87110711991903,0.0,0.0,0.6757545383057608,0.0,0.0,0.03021859075654507
2015-12-19,255.26871608583238,0.0,0.0,0.029009847126283267,111.00921630859375,192.87110711991903,0.0,0.0,0.6487243567735304,0.0,0.0,0.029009847126283267
2015-12-20,256.28605218054895,0.4267692565917969,0.0,0.027849453241231937,111.30795478820801,192.87110711991903,0.0,0.0,0.6227753825025891,0.0,0.0,0.027849453241231937
2015-12-21,252.67628228114253,0.02956390380859375,0.0,0.02673547511158266,111.32864952087402,192.87110711991903,0.0,0.0,0.5978643672024856,0.0,0.0,0.02673547511158266
2015-12-22,255.418367605925,0.02956390380859375,0.0,0.025666056107119355,111.34934425354004,192.87110711991903,0.0,0.0,0.5739497925143862,0.0,0.0,0.025666056107119355
2015-12-23,250.5816383407198,0.03910064697265625,0.0,0.02463941386283458,111.3767147064209,192.87110711991903,0.0,0.0,0.5509918008138107,0.0,0.0,0.02463941386283458
2015-12-24,254.3674513633824,0.00762939453125,0.0,0.0236538373083212,111.38205528259277,192.87110711991903,0.0,0.0,0.5289521287812583,0.0,0.0,0.0236538373083212
2015-12-25,257.9072692195876,0.003814697265625,0.0,0.02270768381598835,111.38472557067871,192.87110711991903,0.0,0.0,0.507794043630008,0.0,0.0,0.02270768381598835
2015-12-26,256.4216028249562,0.0,0.0,0.021799376463348813,111.38472557067871,192.87110711991903,0.0,0.0,0.4874822818848077,0.0,0.0,0.021799376463348813
2015-12-27,257.0198917130254,0.0553131103515625,0.0,0.02092740140481486,111.4234447479248,192.87110711991903,0.0,0.0,0.4679829906094154,0.0,0.0,0.02092740140481486
2015-12-28,254.4508495729253,0.015735626220703125,0.0,0.02009030534862227,111.4344596862793,192.87110711991903,0.0,0.0,0.4492636709850388,0.0,0.0,0.02009030534862227
