,T2,RRR,PE,Q_HBV,Qobs,Q_DDM,Q_Total
2011-03-25,261.76486704065945,0.0,0.0,3.0201434680114656e-07,0.0,0.0,3.0201434680114656e-07
2011-03-26,265.44542517615196,0.0,0.0,2.89933772929102e-07,0.0,0.0,2.89933772929102e-07
2011-03-27,265.67704066808295,0.0,0.0,2.7833642201193886e-07,0.0,0.0,2.7833642201193886e-07
2011-03-28,265.8180613989905,0.044345855712890625,0.0,2.6720296513146144e-07,0.0,0.0,2.6720296513146144e-07
2011-03-29,265.8324041757746,0.4115104675292969,0.0,2.565148465262027e-07,0.0,0.0,2.565148465262027e-07
2011-03-30,264.75093731024987,0.12493133544921875,0.0,2.462542526651544e-07,0.0,0.0,2.462542526651544e-07
2011-03-31,265.1060439643307,0.42819976806640625,0.0,2.364040825585482e-07,0.0,0.0,2.364040825585482e-07
2011-04-01,266.0330049673939,0.5960464477539062,0.0,2.269479192562063e-07,0.0,0.0,2.269479192562063e-07
2011-04-02,266.7571143884247,0.00762939453125,0.0,2.1787000248595803e-07,0.0,0.0,2.1787000248595803e-07
2011-04-03,267.1812134876365,0.5846023559570312,0.0,2.0915520238651968e-07,0.0,0.0,2.0915520238651968e-07
2011-04-04,260.84329792636737,14.935493469238281,0.0,2.0078899429105885e-07,0.0,0.0,2.0078899429105885e-07
2011-04-05,259.26495810330863,3.5033226013183594,0.0,1.9275743451941648e-07,0.0,0.0,1.9275743451941648e-07
2011-04-06,259.668793342137,0.13971328735351562,0.0,1.8504713713863983e-07,0.0,0.0,1.8504713713863983e-07
2011-04-07,259.9133106755781,0.003337860107421875,0.0,1.7764525165309426e-07,0.0,0.0,1.7764525165309426e-07
2011-04-08,261.5796379656253,0.0,0.0,1.7053944158697051e-07,0.0,0.0,1.7053944158697051e-07
2011-04-09,263.40529661254067,0.0,0.0,1.637178639234917e-07,0.0,0.0,1.637178639234917e-07
2011-04-10,264.4168409959207,0.0,0.0,1.5716914936655203e-07,0.0,0.0,1.5716914936655203e-07
2011-04-11,266.5505315011104,0.00858306884765625,0.0,1.5088238339188996e-07,0.0,0.0,1.5088238339188996e-07
2011-04-12,267.9282248348886,1.8038749694824219,0.0,1.4484708805621435e-07,0.0,0.0,1.4484708805621435e-07
2011-04-13,266.52685918546325,0.002384185791015625,0.0,1.3905320453396575e-07,0.0,0.0,1.3905320453396575e-07
2011-04-14,268.5377079659892,0.002384185791015625,0.0428634386400072,1.3349107635260714e-07,0.0,0.0,1.3349107635260714e-07
2011-04-15,269.41213579780924,0.01811981201171875,0.1395366746894593,1.2815143329850286e-07,0.0,0.0,1.2815143329850286e-07
2011-04-16,270.33746829453884,0.0,0.24183772644621734,1.2302537596656276e-07,0.0,0.0,1.2302537596656276e-07
2011-04-17,270.97955217994587,0.0,0.31282394710242345,1.1810436092790025e-07,0.0,0.0,1.1810436092790025e-07
2011-04-18,270.0422903421002,0.07677078247070312,0.2092040352091727,1.1338018649078423e-07,0.0,0.0,1.1338018649078423e-07
2011-04-19,268.91994490144265,1.8353462219238281,0.08512202207392702,1.0884497903115286e-07,0.0,0.0,1.0884497903115286e-07
2011-04-20,268.9353424319474,0.40149688720703125,0.0868243113274214,1.0449117986990675e-07,0.0,0.0,1.0449117986990675e-07
2011-04-21,269.2668449714736,2.3527145385742188,0.12347390331022098,1.0031153267511047e-07,0.0,0.0,1.0031153267511047e-07
2011-04-22,268.74444037519885,0.3256797790527344,0.06571894514075101,9.629907136810605e-08,0.0,0.0,9.629907136810605e-08
2011-04-23,269.05100413435616,0.00286102294921875,0.09961140553000646,9.24471085133818e-08,0.0,0.0,9.24471085133818e-08
2011-04-24,271.0049889424949,0.24652481079101562,0.3156361336097045,8.874922417284652e-08,0.0,0.0,8.874922417284652e-08
2011-04-25,273.17300539870115,0.4773139953613281,0.5553233427801745,8.568214461288394e-08,0.0,1.7379638582118075,1.7379639438939523
2011-04-26,274.2089335822797,0.7410049438476562,0.6698514103657267,1.3122356504435343e-05,0.0,6.022292449053711,6.022305571410215
2011-04-27,273.5718691878053,0.7781982421875,0.5994201245070188,0.0001637180844727731,0.0,3.1259428681018457,3.1261065861863186
2011-04-28,270.63281063102636,2.888202667236328,0.2744895913247952,0.0006328690354034861,0.0,0.0,0.0006328690354034861
2011-04-29,270.3426873223077,0.9121894836425781,0.2424147212365122,0.0012915795682505332,0.0,0.0,0.0012915795682505332
2011-04-30,270.0788945573166,14.042377471923828,0.21325085051999212,0.0017388028910242232,0.0,0.0,0.0017388028910242232
2011-05-01,268.0178894477253,7.1163177490234375,0.0,0.0018029541737593197,0.0,0.0,0.0018029541737593197
2011-05-02,267.1180645884587,0.08392333984375,0.0,0.001641809072923966,0.0,0.0,0.001641809072923966
2011-05-03,270.5984433561416,0.0,0.2706900831705384,0.00146514527716195,0.0,0.0,0.00146514527716195
2011-05-04,271.9259324581382,0.02765655517578125,0.41745195721025674,0.0013653920562865208,0.0,0.019569783528653288,0.02093517558493981
2011-05-05,272.1609609280072,0.659942626953125,0.4434357627562183,0.001326267177748691,0.0,0.09247671030082141,0.09380297747857011
2011-05-06,272.87738642586555,2.0279884338378906,0.5226408940958163,0.0013003845078531251,0.0,0.9924218480727734,0.9937222325806265
2011-05-07,271.55860537904834,0.18072128295898438,0.3768417477315624,0.0012612194937315078,0.0,0.0,0.0012612194937315078
2011-05-08,270.25080875173506,3.3516883850097656,0.23225699475796627,0.001208994339639815,0.0,0.0,0.001208994339639815
2011-05-09,268.8277661214158,2.0427703857421875,0.07493110564147479,0.0011543120620757042,0.0,0.0,0.0011543120620757042
2011-05-10,268.5940325806843,0.7839202880859375,0.04909046227039556,0.0011044307856602103,0.0,0.0,0.0011044307856602103
2011-05-11,269.87713426433055,2.6350021362304688,0.1909450412588121,0.0010601671203718534,0.0,0.0,0.0010601671203718534
2011-05-12,271.366816484441,0.5049705505371094,0.3556383363060052,0.0010191675733723683,0.0,0.0,0.0010191675733723683
2011-05-13,270.9054504342685,5.973339080810547,0.30463155512808177,0.0009794170203625782,0.0,0.0,0.0009794170203625782
