time,t2m
2008-02-21,267.7583333333333
2008-02-22,263.05833333333334
2008-02-23,260.26666666666665
2008-02-24,257.24999999999994
2008-02-25,259.73749999999995
2008-02-26,262.37083333333334
2008-02-27,264.41666666666663
2008-02-28,269.3541666666667
2008-02-29,264.84166666666664
2008-03-01,267.54999999999995
2008-03-02,268.4708333333333
2008-03-03,267.7333333333333
2008-03-04,269.13695652173914
2008-03-05,267.71666666666664
2008-03-06,270.48478260869564
2008-03-07,269.32083333333327
2008-03-08,269.22499999999997
2008-03-09,270.57916666666665
2008-03-10,269.0833333333333
2008-03-11,270.2583333333333
2008-03-12,271.3583333333333
2008-03-13,272.37083333333334
2008-03-14,271.96666666666664
2008-03-15,273.78749999999997
2008-03-16,275.28749999999997
2008-03-17,272.7833333333333
