Date,Qobs
2011-12-08,3.73
2011-12-09,3.85
2011-12-10,3.61
2011-12-11,3.49
2011-12-12,3.61
2011-12-13,3.26
2011-12-14,3.14
2011-12-15,3.26
2011-12-16,2.91
2011-12-17,2.8
2011-12-18,2.91
2011-12-19,3.03
2011-12-20,2.91
2011-12-21,3.37
2011-12-22,3.03
2011-12-23,3.26
2011-12-24,3.14
2011-12-25,3.14
2011-12-26,3.03
2011-12-27,2.91
2011-12-28,3.03
2011-12-29,2.8
2011-12-30,2.7
2011-12-31,3.03
2012-01-01,2.8
2012-01-02,2.57
2012-01-03,2.34
2012-01-04,2.33
2012-01-05,2.33
2012-01-06,2.32
2012-01-07,2.32
2012-01-08,2.31
2012-01-09,2.3
2012-01-10,2.3
2012-01-11,2.29
2012-01-12,2.29
2012-01-13,2.28
2012-01-14,2.27
2012-01-15,2.27
2012-01-16,2.26
2012-01-17,2.26
2012-01-18,2.25
2012-01-19,2.24
2012-01-20,2.24
2012-01-21,2.23
2012-01-22,2.23
2012-01-23,2.22
2012-01-24,2.22
2012-01-25,2.21
2012-01-26,2.2
2012-01-27,2.2
2012-01-28,2.19
2012-01-29,2.19
2012-01-30,2.18
2012-01-31,2.11
2012-02-01,2.04
2012-02-02,1.97
2012-02-03,1.9
2012-02-04,1.9
2012-02-05,1.9
2012-02-06,1.89
2012-02-07,1.89
2012-02-08,1.89
2012-02-09,1.89
2012-02-10,1.89
2012-02-11,1.88
2012-02-12,1.88
2012-02-13,1.88
2012-02-14,1.88
2012-02-15,1.88
2012-02-16,1.87
2012-02-17,1.87
2012-02-18,1.87
2012-02-19,1.88
2012-02-20,1.89
2012-02-21,1.91
2012-02-22,1.92
2012-02-23,1.93
2012-02-24,1.94
2012-02-25,1.95
2012-02-26,1.96
2012-02-27,1.98
2012-02-28,1.99
2012-02-29,2.0
2012-03-01,2.02
2012-03-02,2.02
2012-03-03,2.04
2012-03-04,2.05
2012-03-05,2.06
2012-03-06,2.05
2012-03-07,2.04
2012-03-08,2.04
2012-03-09,2.03
2012-03-10,2.02
2012-03-11,2.01
2012-03-12,2.01
2012-03-13,2.0
2012-03-14,1.99
2012-03-15,2.05
2012-03-16,2.1
2012-03-17,2.16
2012-03-18,2.22
2012-03-19,2.28
2012-03-20,2.33
2012-03-21,2.39
2012-03-22,2.45
2012-03-23,2.5
2012-03-24,2.56
2012-03-25,2.62
2012-03-26,2.67
2012-03-27,2.73
2012-03-28,2.79
2012-03-29,2.85
2012-03-30,3.16
2012-03-31,3.47
2012-04-01,3.78
2012-04-02,4.09
2012-04-03,4.4
2012-04-04,4.71
2012-04-05,5.02
2012-04-06,4.84
2012-04-07,5.02
2012-04-08,4.84
2012-04-09,4.48
2012-04-10,4.3
2012-04-11,4.48
2012-04-12,4.3
2012-04-13,4.3
2012-04-14,4.3
2012-04-15,4.16
2012-04-16,4.16
2012-04-17,4.02
2012-04-18,4.02
2012-04-19,4.3
2012-04-20,4.48
2012-04-21,6.01
2012-04-22,5.74
2012-04-23,5.47
2012-04-24,5.74
2012-04-25,5.47
2012-04-26,6.01
2012-04-27,6.28
2012-04-28,6.86
2012-04-29,6.55
2012-04-30,5.02
2012-05-01,4.66
2012-05-02,4.41
2012-05-03,4.16
2012-05-04,3.91
2012-05-05,3.91
2012-05-06,4.3
2012-05-07,4.43
2012-05-08,4.69
2012-05-09,4.43
2012-05-10,4.56
2012-05-11,4.69
2012-05-12,4.69
2012-05-13,4.82
2012-05-14,4.82
2012-05-15,5.11
