,Qobs,DDM_total_melt,DDM_smb,Q_Total,Q_COSIPY,COSIPY_smb,COSIPY_melt
2011-03-29,0.0,0.0,0.413,0.0,0.0,-1.3327501546985898,1.5215110408708645
2011-03-30,0.0,0.0,0.122,0.0,0.0,-3.3481537841864677,3.5403350682937846
2011-03-31,0.0,0.0,0.43,0.0,0.0,-3.265745160594754,3.495965852067839
2011-04-01,0.0,0.0,0.594,0.0,0.0,-0.5919685840216439,1.1560175477358403
2011-04-02,0.0,0.0,0.009,0.0,0.0,0.3857678961174747,0.002845229850510088
2011-04-03,0.0,0.0,1.063,0.0,0.0,1.091741173726524,0.0020314197913870054
2011-04-04,0.0,0.0,15.897,0.0,0.0,16.234049721013758,4.882343080089456e-05
2011-04-05,0.0,0.0,2.062,0.0,0.0,2.1475717238594774,0.007562690973202248
2011-04-06,0.0,0.0,0.14,0.0,0.0,0.007732476611916744,0.0015520322365059512
2011-04-07,0.0,0.0,0.003,0.0,0.0,0.05004857950342103,5.075643000124271e-05
2011-04-08,0.0,0.0,0.0,0.0,0.0,0.021168378112440503,4.140488227237153e-05
2011-04-09,0.0,0.0,0.0,0.0,0.0,0.016578227834927878,3.0803192750933876e-05
2011-04-10,0.0,0.0,0.0,0.0,0.0,0.0567631876448654,3.049005698585349e-05
2011-04-11,0.0,0.0,0.083,0.0,0.0,-0.7414127931214447,0.9323628730769142
2011-04-12,0.0,0.0,1.73,0.0,0.0,1.1102161340885564,0.055236108358074625
2011-04-13,0.0,0.0,0.002,0.0,0.0,0.016016037858663276,3.9600635834971195e-05
2011-04-14,0.0,0.0,0.002,0.0,0.0,0.0023223676468573434,2.9090789035033956e-05
2011-04-15,0.0,0.0,0.018,0.0,0.0,0.0014796853123316778,3.207733053354898e-05
2011-04-16,0.0,0.0,0.0,0.0,0.0,0.03609627647569464,3.030865953856718e-05
2011-04-17,0.0,0.0,0.001,0.0,0.0,0.3098862511347041,0.09538765833369348
2011-04-18,0.0,0.0,0.079,0.0,0.0,-4.200562195180423,4.507810151784726
2011-04-19,0.0,0.0,1.846,0.0,0.0,-0.907397221515925,2.5949641497387264
2011-04-20,0.0,0.0,0.431,0.0,0.0,-2.3727347453894616,2.702901715316881
2011-04-21,0.0,0.0,2.311,0.0,0.2601911723766145,-0.369362755895074,2.3045302768619917
2011-04-22,0.0,0.0,0.325,0.0,0.34873214174636286,0.029776217073675,0.6028380011383221
2011-04-23,0.0,0.0,0.003,0.0,0.4990745854117978,-0.3769948471779732,0.5120449052076682
2011-04-24,0.0,0.0,0.249,0.0,0.5936955684583318,-0.0846781449080242,0.7631543409751199
2011-04-25,0.0,0.363,0.081,0.364,1.2744535632571674,-0.9396385496188912,1.580524754394492
2011-04-26,0.0,2.01,-1.535,2.0149999999999997,2.147545484751007,-2.2052465060423296,2.854421484847501
2011-04-27,0.0,1.327,-0.733,1.343,2.180359645313614,-1.034209659088918,2.320805744395156
2011-04-28,0.0,0.0,2.889,0.032,1.6120879975526927,1.5804127955618092,1.6254424481270122
2011-04-29,0.0,0.0,0.959,0.046,3.290625434914058,-2.5049127370793958,3.54988672661872
2011-04-30,0.0,0.0,14.037,0.051,1.223673502516415,11.510377069003606,2.2700752740665338
2011-05-01,0.0,0.0,7.119,0.049,0.0,7.057589519886218,0.06194448342529391
2011-05-02,0.0,0.0,0.039,0.045,0.0,0.20488095260002373,0.009870153322242576
2011-05-03,0.0,0.0,0.0,0.041,0.0,-1.6096365114186866,1.9816440812547065
2011-05-04,0.0,0.0,0.028,0.039,0.0,0.4180637953081583,0.04160997367413748
2011-05-05,0.0,0.0,0.661,0.038,0.0,0.8108002957219944,0.03390996194019748
2011-05-06,0.0,0.0,2.032,0.037,0.6772589384574316,-0.6770281525840434,2.2047178634879616
2011-05-07,0.0,0.0,0.177,0.036,1.4129675439411087,-0.654357718343753,1.524050710498736
2011-05-08,0.0,0.0,3.363,0.034,2.676475729838173,1.5247263601437164,2.183783705405659
2011-05-09,0.0,0.0,2.216,0.033,1.0047391650435205,0.5983101911775529,1.045079623933459
2011-05-10,0.0,0.0,0.82,0.032,2.54514161386585,-1.9420456672233848,2.5665217205107544
2011-05-11,0.0,0.0,2.415,0.03,2.3006676762986835,-0.5763793571221121,2.264109581181421
2011-05-12,0.0,0.0,0.651,0.029,3.2243853731474683,-3.1486623501315902,3.9525278802087547
2011-05-13,0.0,0.0,5.825,0.028,0.7358412641721491,4.800388471792205,0.8486150785923648
2011-05-14,0.0,0.0,0.181,0.027,2.51008180421598,-2.1306760606222026,2.520327557989323
2011-05-15,0.0,1.563,-0.535,1.591,3.527229301767123,-2.6839903627161306,3.7425587241552445
2011-05-16,0.0,3.412,-2.983,3.4499999999999997,4.202285768025211,-3.884624681417546,4.7190637107643285
2011-05-17,0.0,0.0,8.327,0.057,3.803240846788482,2.0524955037306296,5.134098329340084
2011-05-18,0.0,0.0,0.919,0.077,1.7746173187543388,-0.6571478464378154,1.759964226012311
2011-05-19,0.0,0.0,8.869,0.086,2.49297568951023,6.439227744282268,2.3345464146264887
2011-05-20,0.0,0.0,8.601,0.083,0.7740632638025399,6.7817826814505375,1.7625669214208983
2011-05-21,0.0,0.0,6.058,0.076,0.0,3.7406135174520356,2.2219968362888887
2011-05-22,0.0,0.0,0.039,0.07,0.0,-0.008723578139166077,0.30694695078581774
2011-05-23,0.0,0.0,0.089,0.067,0.0,0.10601414227267768,0.004896802533095285
2011-05-24,0.0,0.0,0.0,0.065,0.03436620906286888,-0.03307646160753212,0.23023180247737096
2011-05-25,0.0,0.0,0.605,0.063,1.2040581041583334,-0.4625969724681004,1.3654899518886623
2011-05-26,0.0,0.0,0.699,0.061,3.8454468748073376,-5.6467486364268344,6.436334735262006
2011-05-27,0.0,0.0,1.3,0.058,3.819913508285832,-4.185952220007401,5.417628690571921
2011-05-28,0.0,0.0,0.971,0.056,4.58082217301278,-3.1414323823421086,3.7914969399613385
2011-05-29,0.0,0.0,0.257,0.053,4.03303182566175,-4.086518437632953,4.369416012695748
2011-05-30,0.0,1.718,-0.987,1.771,4.6792877883985975,-5.166869173593827,5.8487724341228695
2011-05-31,0.0,2.355,-0.862,2.416,4.92640056957322,-5.114397930922893,6.392042200015979
2011-06-01,0.7698247698247698,0.0,4.479,0.084,5.162760062733509,-2.9904729851513445,5.9619090520817535
2011-06-02,1.7449361449361451,0.0,2.608,0.114,4.499491609401774,-4.820893845819538,6.466542563769287
